Fecha_Accidente,DIRECCION ACCIDENTE,CONDICION_VICTIMA,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SEXO_VICTIMA,EDAD_VICTIMA,CANTIDAD_VICTIMAS
2018-01-11,CR 44 CL 51,Pasajero,herido,Choque,M,54,1
2018-01-11,CR 44 CL 51,Pasajero,herido,Choque,M,56,1
2018-01-11,CR 44 CL 51,Pasajero,herido,Choque,M,68,1
2018-01-11,CR 46 CL 54,Motociclista,herido,Choque,M,35,1
2018-01-12,CL 110 CR 38 Y 43,Peaton,herido,Atropello,M,25,1
2018-01-12,CL 86 CR 71,Motociclista,herido,Choque,M,26,1
2018-01-12,CR 14 CL 56B,Motociclista,herido,Choque,M,21,1
2018-01-12,CR 38 CL 79A,Pasajero,herido,Choque,M,38,3
2018-01-13,CL 110 CR 26,Peaton,herido,Atropello,M,39,1
2018-01-13,CR 42H 87 80,Motociclista,herido,Atropello,M,41,1
2018-01-13,CR 42H 87 80,Peaton,herido,Atropello,M,50,1
2018-01-13,CALLE 45 CRA 45,Conductor,herido,Choque,M,45,1
2018-01-13,CL 38B CR 5A,Conductor,herido,Choque,M,37,1
2018-01-13,CR 15 SUR CL 70,Motociclista,herido,Choque,M,27,1
2018-01-13,CRA 34 CALLE 72,Acompañante,herido,Choque,M,22,1
2018-01-13,CRA 34 CALLE 72,Motociclista,herido,Choque,M,23,1
2018-01-13,CRA 38 CALLE 57,Conductor,herido,Choque,M,19,1
2018-01-13,CRA 38 CALLE 57,Pasajero,herido,Choque,M,18,1
2018-01-13,CRA 46 CALLE 93,Pasajero,herido,Choque,M,19,1
2018-01-14,CL 45 CR 11 SUR,Motociclista,herido,Atropello,M,57,1
2018-01-14,CL 45 CR 11 SUR,Peaton,herido,Atropello,M,63,1
2018-01-14,AV CIRCUNVALAR CL 98 Y 106,Motociclista,herido,Choque,M,22,1
2018-01-14,AV CIRCUNVALAR CL 98 Y 106,Pasajero,herido,Choque,M,16,1
2018-01-14,CL 110 CR 6,Ciclista,herido,Choque,M,58,1
2018-01-14,CL 110 CR 6,Motociclista,herido,Choque,M,30,1
2018-01-14,CL 35 CR 14,Motociclista,herido,Choque,F,35,1
2018-01-14,CORDIALIDAD KM 2 ULTRACEM,Pasajero,herido,Choque,M,7,1
2018-01-14,CR 8 CL 51B,Acompañante,herido,Choque,M,46,1
2018-01-14,CR 8 CL 51B,Motociclista,herido,Choque,M,49,1
2018-01-15,AV CORDIALIDAD KM 1 VIA GALAPA,Peaton,herido,Atropello,M,24,1
2018-01-15,AV CORDIALIDAD KM 1 VIA GALAPA,Peaton,herido,Atropello,M,39,1
2018-01-15,CR 45B CL 94,Motociclista,herido,Choque,M,26,1
2018-01-15,CR 45B CL 94,Pasajero,herido,Choque,F,21,1
2018-01-15,CR 46 CL 64,Conductor,herido,Choque,M,40,1
2018-01-15,CR 46 CL 64,Pasajero,herido,Choque,F,21,1
2018-01-15,CR 46 CL 64,Pasajero,herido,Choque,F,46,1
2018-01-15,CR 46 CL 64,Pasajero,herido,Choque,F,47,1
2018-01-15,CR 46 CL 64,Pasajero,herido,Choque,F,57,1
2018-01-15,CR 46 CL 64,Pasajero,herido,Choque,M,21,2
2018-01-15,CR 46 CL 64,Pasajero,herido,Choque,M,35,1
2018-01-15,CR 9G CON CIRCUNVALAR,Acompañante,herido,Choque,M,39,1
2018-01-15,CR 9G CON CIRCUNVALAR,Motociclista,herido,Choque,M,48,1
2018-01-15,VIA 40 CRA 67,Acompañante,herido,Choque,M,22,1
2018-01-15,VIA 40 CRA 67,Motociclista,herido,Choque,M,30,1
2018-01-16,CL 45 CR 24,Motociclista,herido,Atropello,M,29,1
2018-01-16,CL 45 CR 24,Peaton,herido,Atropello,M,34,1
2018-01-16,CL 86 CR 51B,Peaton,herido,Atropello,M,48,1
2018-01-16,CR 43B CL 92,Peaton,herido,Atropello,M,62,1
2018-01-16,CLLE 72 CRA 56,Motociclista,herido,Choque,M,39,1
2018-01-16,CR 38 CL 81,Acompañante,herido,Choque,M,26,1
2018-01-16,CR 46 CL 92 Y 93,Ciclista,herido,Choque,F,46,1
2018-01-16,CR 6 CL 99,Acompañante,herido,Choque,M,27,1
2018-01-17,CL 45 CR 30,Pasajero,herido,Choque,M,53,1
2018-01-17,VIA 40 85B 300,Motociclista,herido,Choque,M,54,1
2018-01-18,CALLE 19 CARRERA 1,Conductor,herido,Choque,M,51,1
2018-01-18,CALLE 74 CRA 48,Motociclista,herido,Choque,M,35,1
2018-01-18,CL 46 CR 10 SUR,Motociclista,herido,Choque,M,31,1
2018-01-18,CL 72 CR 38B,Motociclista,herido,Choque,M,27,1
2018-01-18,CR 41 CL 74,Pasajero,herido,Choque,M,20,1
2018-01-18,CR 41 CL 74,Pasajero,herido,Choque,M,43,1
2018-01-18,CR 41 CL 74,Pasajero,herido,Choque,M,59,1
2018-01-18,CR 6 CL 90,Acompañante,herido,Choque,M,13,1
2018-01-18,CR 6 CL 90,Motociclista,herido,Choque,M,42,1
2018-01-18,CR 6 CL 90,Pasajero,herido,Choque,F,38,1
2018-01-18,CR 6 CL 90,Pasajero,herido,Choque,M,32,1
2018-01-18,CRA 57 CALLE 81,Motociclista,herido,Choque,M,27,1
2018-01-19,CIRCUNVALAR CR 38Y 46,Acompañante,herido,Choque,M,26,2
2018-01-19,CIRCUNVALAR CR 38Y 46,Acompañante,herido,Choque,M,27,1
2018-01-19,CIRCUNVALAR CR 38Y 46,Conductor,herido,Choque,M,33,1
2018-01-19,CR 49C 80 264,Motociclista,herido,Choque,F,24,1
2018-01-19,CR 6 CL 75B,Conductor,herido,Choque,M,25,1
2018-01-19,CR 6 CL 75B,Motociclista,herido,Choque,M,29,1
2018-01-20,CL 110 CR 31,Motociclista,herido,Atropello,M,27,1
2018-01-20,CL 110 CR 31,Peaton,herido,Atropello,F,33,1
2018-01-20,CALLE 63B CARRERA 25,Motociclista,herido,Choque,M,27,1
2018-01-20,CL 30 FRENTE AL 15 360,Acompañante,herido,Choque,M,45,1
2018-01-20,CL 30 FRENTE AL 15 360,Motociclista,herido,Choque,M,45,1
2018-01-21,CL 30 1 245,Peaton,herido,Atropello,M,63,1
2018-01-21,AVENIDA CIRCUNVALAR CALLE 50-16,Conductor,herido,Choque,M,47,1
2018-01-21,CL 37 ENTRE CR 13 Y 14 ENTRADA MANUELA BELTRAN,Ciclista,herido,Choque,M,27,1
2018-01-21,CL 37 ENTRE CR 13 Y 14 ENTRADA MANUELA BELTRAN,Motociclista,muerto,Choque,M,40,1
2018-01-21,CL 6 CR 46,Acompañante,herido,Choque,F,35,1
2018-01-21,CL 6 CR 46,Acompañante,herido,Choque,M,6,1
2018-01-21,CL 6 CR 46,Acompañante,herido,Choque,M,7,1
2018-01-21,CL 64 CR 62,Motociclista,herido,Choque,M,22,1
2018-01-21,CR 28 CL 28,Motociclista,herido,Choque,M,29,1
2018-01-22,CR 37 CL 81,Peaton,muerto,Atropello,M,39,1
2018-01-22,AVENIDA 110 CRA 38,Motociclista,herido,Choque,M,26,1
2018-01-22,CALLE 46 18-13,Motociclista,herido,Choque,M,44,1
2018-01-22,CL 17 CR 7B,Acompañante,herido,Choque,M,22,1
2018-01-22,CLLE 68 CRA 24C,Motociclista,herido,Choque,M,36,1
2018-01-22,CR 24 CL 33,Motociclista,herido,Choque,M,19,1
2018-01-22,CR 24 CL 33,Pasajero,herido,Choque,M,28,1
2018-01-22,CR 8 CL 44,Acompañante,herido,Choque,M,28,1
2018-01-22,VIA 40 CR 53B,Ciclista,herido,Choque,M,22,1
2018-01-23,CR 15 26 95,Peaton,herido,Atropello,M,49,1
2018-01-23,CRA 44 CALLE 35,Pasajero,herido,Caida Ocupante,M,19,1
2018-01-23,CALLE 45 CRA 11 SUR,Acompañante,herido,Choque,M,26,1
2018-01-23,CALLE 45 CRA 11 SUR,Motociclista,herido,Choque,M,19,1
2018-01-23,CALLE 51 CRA 23,Conductor,herido,Choque,M,26,1
2018-01-23,CR 21B CL 68,Motociclista,herido,Choque,M,46,1
2018-01-23,CR 42G CL 85,Motociclista,herido,Choque,M,32,1
2018-01-24,CALLEC 110 CARRERA 9G,Peaton,herido,Atropello,F,18,1
2018-01-24,CALLE 30 CR 33,Acompañante,herido,Choque,M,34,1
2018-01-24,CALLE 30 CR 33,Motociclista,herido,Choque,M,55,1
2018-01-24,CARRERA 15 SUR CALLE 73,Conductor,herido,Choque,M,30,1
2018-01-24,CL 69 CR 49,Motociclista,herido,Choque,M,48,1
2018-01-24,CR 47 CL 75,Pasajero,herido,Choque,M,27,1
2018-01-24,CR 49C CL 86,Motociclista,herido,Choque,M,34,1
2018-01-24,CR 88 CL 66,Motociclista,herido,Choque,M,18,1
2018-01-25,CALLE 61 CRA 23,Acompañante,herido,Choque,F,33,1
2018-01-25,CALLE 61 CRA 23,Motociclista,herido,Choque,M,47,1
2018-01-25,CL 14 CR 15,Acompañante,herido,Choque,F,58,1
2018-01-25,CL 73C CR 24,Motociclista,herido,Choque,M,32,1
2018-01-25,CR 10 CL 5,Acompañante,herido,Choque,F,58,1
2018-01-25,CR 58 CL 86,Motociclista,herido,Choque,M,30,1
2018-01-25,VIA 40 CR 51,Motociclista,muerto,Choque,M,48,1
2018-01-25,VIA CORDIALIDAD KM 1,Conductor,herido,Choque,M,39,1
2018-01-26,CL 40 41 117,Peaton,herido,Atropello,M,68,1
2018-01-26,CALLE 68 CRA 31,Pasajero,herido,Choque,F,78,1
2018-01-26,CL 47 CR 26,Ciclista,herido,Choque,M,18,1
2018-01-26,CL 47C CR 27,Motociclista,herido,Choque,F,44,1
2018-01-27,CALLE 45 CARRERA 20,Motociclista,herido,Choque,M,38,1
2018-01-27,CALLE 45 CARRERA 20,Pasajero,herido,Choque,M,33,1
2018-01-27,CL 53 D CR 20,Motociclista,herido,Choque,M,42,1
2018-01-28,CALLE 17 CRA 24,Acompañante,herido,Choque,M,21,1
2018-01-28,CALLE 17 CRA 24,Motociclista,herido,Choque,M,28,1
2018-01-28,CL 17 CR 35,Motociclista,herido,Choque,M,30,1
2018-01-28,CL 17 CR 35,Pasajero,herido,Choque,M,53,1
2018-01-28,CL 30 CR 20,Motociclista,herido,Choque,M,26,1
2018-01-29,AV CORDIALIDAD KM 1,Acompañante,herido,Choque,M,25,1
2018-01-29,AV CORDIALIDAD KM 1,Conductor,herido,Choque,M,39,1
2018-01-29,AV CORDIALIDAD KM 1,Conductor,herido,Choque,M,54,1
2018-01-29,CALLE 84 CRA 13,Motociclista,herido,Choque,M,37,1
2018-01-29,CARRERA 14 CALLE 27,Motociclista,herido,Choque,M,26,1
2018-01-29,CARRERA 44B CALLE 99C,Conductor,herido,Choque,F,31,1
2018-01-29,CARRERA 47 84-42,Motociclista,herido,Choque,M,30,1
2018-01-29,CL 49 CR 3 SUR,Acompañante,herido,Choque,M,51,1
2018-01-29,CL 49 CR 3 SUR,Conductor,herido,Choque,M,44,1
2018-01-29,CL 80 CR 66,Motociclista,herido,Choque,M,33,1
2018-01-30,CL 45 CR 7H,Peaton,herido,Atropello,M,18,1
2018-01-30,CALLE 91 CARRERA 49C,Conductor,herido,Choque,F,51,1
2018-01-30,CALLE 91 CARRERA 49C,Pasajero,herido,Choque,F,22,1
2018-01-30,CARRERA 51B CALLE 93-85,Conductor,herido,Choque,F,50,1
2018-01-30,CARRERA 51B CALLE 93-85,Conductor,herido,Choque,F,57,1
2018-01-30,CARRERA 51B CALLE 93-85,Pasajero,herido,Choque,F,19,1
2018-01-30,CARRERA 51B N°96-43,Pasajero,herido,Choque,M,42,1
2018-01-30,CR 14 CL 56C,Motociclista,herido,Choque,F,23,1
2018-01-31,CARRERA 24 CON CALLE 46,Motociclista,herido,Choque,M,46,1
2018-01-31,CL 52 CR 42,Motociclista,herido,Choque,M,51,1
2018-01-31,CR 43 CL 60,Motociclista,herido,Choque,M,27,1
2018-02-01,CALLE 110 CARRERA 14-30,Motociclista,herido,Choque,M,35,1
2018-02-01,CR 27B CL 70B,Acompañante,herido,Choque,M,36,1
2018-02-02,CALLE 90 CARRERA 6,Pasajero,herido,Caida Ocupante,M,68,1
2018-02-02,CALLE 56 CARRERA 10,Motociclista,herido,Choque,M,34,1
2018-02-02,CARRERA 20 CALLE 40,Motociclista,herido,Choque,M,25,1
2018-02-02,CL 92 CR 52,Acompañante,herido,Choque,F,41,1
2018-02-03,CARRERA 20 112E-34,Peaton,herido,Atropello,M,91,1
2018-02-03,CARRERA 28 CALLE 28,Motociclista,herido,Choque,M,41,1
2018-02-03,CARRERA 28 CALLE 28,Pasajero,herido,Choque,M,21,1
2018-02-03,CL 19 CR 1F,Acompañante,herido,Choque,M,27,1
2018-02-03,CL 19 CR 1F,Motociclista,herido,Choque,M,22,1
2018-02-03,CL 96 CR 58,Motociclista,herido,Choque,M,25,1
2018-02-04,AVENIDA CIRCUNVALAR CARRERA 2A SUR,Motociclista,herido,Choque,M,40,1
2018-02-04,CL 45 CR 2E,Ciclista,muerto,Choque,M,38,1
2018-02-05,CARRERA 52 100-105,Motociclista,herido,Choque,M,34,1
2018-02-05,CARRERA 54 CALLE 64,Motociclista,herido,Choque,F,48,1
2018-02-05,CARRERA 54 CALLE 64,Pasajero,herido,Choque,M,22,1
2018-02-05,CARRERA 8 DIAGONAL 5,Conductor,herido,Choque,M,29,1
2018-02-05,CARRERA 8 DIAGONAL 5,Pasajero,herido,Choque,M,16,1
2018-02-05,CR 14 CL 43 Y 44,Motociclista,herido,Choque,M,21,1
2018-02-05,CR 14 CL 43 Y 44,Pasajero,herido,Choque,M,23,1
2018-02-05,CR 18 CL 53D,Acompañante,herido,Choque,M,17,1
2018-02-05,CR 18 CL 53D,Motociclista,herido,Choque,M,32,1
2018-02-06,CR 27 CL 106,Peaton,herido,Atropello,F,47,1
2018-02-06,CALLE 100 CARRERA 36,Pasajero,herido,Choque,M,29,1
2018-02-06,CALLE 110 CARRERA 6L3,Motociclista,herido,Choque,M,29,1
2018-02-06,CALLE 90 2 SUR-41,Motociclista,herido,Choque,F,35,1
2018-02-06,CARRERA 32 CALLE 56,Conductor,herido,Choque,M,22,1
2018-02-06,CARRERA 32 CALLE 56,Pasajero,herido,Choque,M,29,1
2018-02-06,CARRERA 5 CALLE 50A,Motociclista,herido,Choque,M,18,1
2018-02-07,CL 93 CR 6,Peaton,herido,Atropello,F,29,1
2018-02-07,CARRERA 30 CALLE 37,Motociclista,herido,Choque,M,41,1
2018-02-07,CL 34 CR 46,Acompañante,herido,Choque,M,49,1
2018-02-07,CL 68 CR 64,Motociclista,herido,Choque,M,55,1
2018-02-08,AVENIDA CORDIALIDAD CARRERA 9,Peaton,herido,Atropello,F,18,1
2018-02-08,AV CIRCUNVALAR FRENTE AL 46E 3 14,Conductor,herido,Choque,M,24,1
2018-02-08,AV CIRCUNVALAR FRENTE AL 46E 3 14,Conductor,herido,Choque,M,30,1
2018-02-08,CR 38 33 18,Motociclista,herido,Choque,M,22,1
2018-02-08,VIA 40 FRENTE 73 290,Acompañante,herido,Choque,M,26,1
2018-02-08,VIA 40 FRENTE 73 290,Motociclista,herido,Choque,F,36,1
2018-02-09,CR 36 CL 45,Peaton,herido,Atropello,M,40,1
2018-02-09,CALLE 76 CARRERA 47,Acompañante,herido,Choque,M,25,1
2018-02-09,CALLE 76 CARRERA 47,Acompañante,herido,Choque,M,35,1
2018-02-09,CALLE 76 CARRERA 47,Acompañante,herido,Choque,M,36,1
2018-02-09,CALLE 76 CARRERA 47,Conductor,herido,Choque,M,36,1
2018-02-09,CARRERA 24 CALLE 47,Motociclista,herido,Choque,M,27,1
2018-02-09,CL 110 CR 38,Ciclista,herido,Choque,F,61,1
2018-02-09,CR 8 CL 35,Motociclista,herido,Choque,M,21,1
2018-02-10,CL 45 CR 7G,Peaton,herido,Atropello,M,68,1
2018-02-10,CL 68 CR 1D,Motociclista,herido,Choque,M,25,1
2018-02-10,CL 98 CR 6,Motociclista,herido,Choque,M,33,1
2018-02-10,CR 15 CL 26,Acompañante,herido,Choque,M,30,1
2018-02-10,CR 20 CL 47,Motociclista,herido,Choque,M,39,1
2018-02-10,CR 21 CL 50,Motociclista,herido,Choque,M,24,1
2018-02-10,CR 47 CL 75,Conductor,herido,Volcamiento,M,17,1
2018-02-10,CR 47 CL 75,Conductor,herido,Volcamiento,M,50,1
2018-02-10,CR 47 CL 75,Pasajero,muerto,Volcamiento,M,48,1
2018-02-11,CL 117 CR 20,Motociclista,herido,Atropello,M,25,1
2018-02-11,CL 117 CR 20,Peaton,herido,Atropello,M,31,1
2018-02-11,CALLE 45B CARRERA 7C,Acompañante,herido,Choque,M,20,1
2018-02-11,CALLE 45B CARRERA 7C,Motociclista,herido,Choque,M,24,1
2018-02-11,CARRERA 43B 85,Pasajero,herido,Choque,M,15,1
2018-02-11,CARRERA 43B 85,Pasajero,herido,Choque,M,19,1
2018-02-11,CARRERA 43B 85,Pasajero,herido,Choque,M,20,1
2018-02-11,CLK 59 CR 45,Conductor,herido,Choque,M,57,1
2018-02-11,CLK 59 CR 45,Pasajero,herido,Choque,M,30,1
2018-02-11,CLK 59 CR 45,Pasajero,herido,Choque,M,47,1
2018-02-11,CLK 59 CR 45,Pasajero,herido,Choque,M,55,1
2018-02-11,CR 14 CL 63B,Conductor,herido,Choque,M,36,1
2018-02-11,CR 14 CL 63B,Motociclista,herido,Choque,M,27,1
2018-02-11,CR 14 CL 63B,Pasajero,herido,Choque,F,38,1
2018-02-12,CL 46 CR 7B1 02,Peaton,herido,Atropello,F,6,1
2018-02-12,CL 46 CR 7B1 02,Peaton,herido,Atropello,F,29,1
2018-02-12,CARRERA 13 CALLE 99B-63,Peaton,herido,Choque,M,2,1
2018-02-12,CARRERA 13 CALLE 99B-63,Peaton,herido,Choque,M,23,1
2018-02-12,CARRERA 38 29-19,Motociclista,herido,Choque,M,31,1
2018-02-13,CALLE 17 CARRERA 8,Motociclista,herido,Atropello,M,23,1
2018-02-13,CARRERA 10 26-151,Peaton,herido,Atropello,M,11,1
2018-02-13,CARRERA 25 45B-39,Conductor,herido,Atropello,M,44,1
2018-02-13,CARRERA 25 45B-39,Peaton,herido,Atropello,M,20,1
2018-02-13,CALLE 84B CARRERA 39,Conductor,herido,Choque,F,36,1
2018-02-13,CALLE 84B CARRERA 39,Pasajero,herido,Choque,F,22,1
2018-02-14,CALLE 72 65-45,Peaton,herido,Atropello,F,15,1
2018-02-14,CALLE 30 CARRERA 11,Acompañante,herido,Choque,F,36,1
2018-02-14,CALLE 37C CARRERA 1E,Motociclista,herido,Choque,M,36,1
2018-02-14,CALLE 64 CARRERA 66,Motociclista,herido,Choque,M,30,1
2018-02-14,CR 30 CL 34,Pasajero,herido,Choque,M,57,1
2018-02-15,CALLE 110 CARRERA 36B,Motociclista,herido,Choque,M,32,1
2018-02-15,CALLE 45 CARRERA 1,Acompañante,herido,Choque,M,43,1
2018-02-15,CARRERA 16 CALLE 23,Conductor,herido,Choque,M,41,1
2018-02-15,CARRERA 16 CALLE 23,Motociclista,herido,Choque,M,17,1
2018-02-15,CARRERA 16 CALLE 23,Pasajero,herido,Choque,F,26,1
2018-02-15,CARRERA 37 CALLE 60,Motociclista,herido,Choque,M,55,1
2018-02-15,CARRERA 43 CALLE 90,Motociclista,herido,Choque,M,21,1
2018-02-15,CARRERA 44 CALLE 75,Motociclista,herido,Choque,M,20,1
2018-02-15,CR 44 CL 100,Pasajero,herido,Choque,M,21,1
2018-02-16,CL 56 CR 9,Motociclista,herido,Atropello,M,40,1
2018-02-16,CL 56 CR 9,Peaton,herido,Atropello,M,71,1
2018-02-16,CR 40 37 37,Peaton,herido,Atropello,M,34,1
2018-02-16,DIAGONAL 138 CARRERA 9E,Pasajero,herido,Caida Ocupante,F,57,1
2018-02-16,CALLE 56 CARRERA 10,Ciclista,herido,Choque,M,53,1
2018-02-16,CIRCUNVALAR SAN PABLO,Motociclista,herido,Choque,M,47,1
2018-02-16,CR 46 CL 75,Acompañante,herido,Choque,F,23,1
2018-02-16,CALLE 68 CARRERA 23C,Motociclista,herido,Otro,F,28,1
2018-02-17,AV CIRCUNVALAR CR 38,Motociclista,herido,Choque,M,33,1
2018-02-17,CARRERA 31 CALLE 69B,Motociclista,herido,Choque,M,33,1
2018-02-17,CL 84 CR 26B,Acompañante,herido,Choque,M,13,1
2018-02-18,CALLE 47 CARRERA 1A,Motociclista,herido,Choque,M,21,1
2018-02-19,CL 45 CR 50 Y 50B,Peaton,herido,Atropello,M,82,1
2018-02-19,CALLE 110 6Q-522,Acompañante,herido,Choque,M,55,1
2018-02-19,CALLE 19 CARRERA 3C,Conductor,herido,Choque,M,26,1
2018-02-19,CALLE 53D 24B-33,Motociclista,herido,Choque,M,51,1
2018-02-19,CALLE 96 CARRERA 2C,Acompañante,herido,Choque,F,24,1
2018-02-19,CALLE 96 CARRERA 2C,Motociclista,herido,Choque,M,23,1
2018-02-19,CL 26 CR 10,Conductor,herido,Choque,M,49,1
2018-02-20,AVENIDA CIRCUNVALAR CARRERA 13,Peaton,herido,Atropello,M,14,1
2018-02-20,CL 19 CR 6B,Motociclista,herido,Choque,M,23,1
2018-02-20,CL 47 CR 22,Ciclista,herido,Choque,M,62,1
2018-02-21,CALLE 87 CARRERA 51B,Peaton,herido,Atropello,M,31,1
2018-02-21,CR 46 CL 38,Peaton,herido,Atropello,M,78,1
2018-02-21,CALLE 30 2B-106,Pasajero,herido,Caida Ocupante,F,59,1
2018-02-21,CALLE 96 CARRERA 3A,Motociclista,herido,Choque,M,42,1
2018-02-21,CARRERA 96 70C-170,Motociclista,herido,Choque,M,24,1
2018-02-22,CALLE 30 CARRERA 33,Motociclista,herido,Choque,M,30,1
2018-02-23,CALLE 110 CARRERA 9G,Acompañante,herido,Choque,M,18,1
2018-02-23,CALLE 30 CARRERA 4B,Motociclista,herido,Choque,M,26,1
2018-02-23,CARRERA 2SUR CALLE 88,Conductor,herido,Choque,M,40,1
2018-02-23,CARRERA 2SUR CALLE 88,Peaton,herido,Choque,F,64,1
2018-02-23,CARRERA 2SUR CALLE 88,Peaton,herido,Choque,M,34,1
2018-02-23,CARRERA 38 CALLE 44,Acompañante,herido,Choque,M,20,1
2018-02-23,CARRERA 38 CALLE 44,Motociclista,muerto,Choque,M,32,1
2018-02-23,CARRERA 50 CALLE 86,Acompañante,herido,Choque,M,35,1
2018-02-23,CARRERA 50 CALLE 86,Motociclista,herido,Choque,M,31,1
2018-02-23,CARRERA 6 CALLE 98A,Motociclista,herido,Choque,M,38,1
2018-02-23,CL 68 CR 42,Motociclista,herido,Choque,M,24,1
2018-02-23,TRANSV. 1D 54C-6,Pasajero,herido,Choque,M,33,1
2018-02-23,VIA 40 85 560,Motociclista,herido,Choque,M,33,1
